name,institution,count_reviews,rating_mean
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,399,4.92
Dino 101: Dinosaur Paleobiology,University of Alberta,1791,4.9
Sports Marketing,Northwestern University,432,4.66
Positive Psychology,The University of North Carolina at Chapel Hill,2721,4.66
Introduction to Programming with MATLAB,Vanderbilt University,8682,4.83
Preparing to Manage Human Resources,University of Minnesota,4347,4.86
Solar Energy Basics,The State University of New York,1123,4.82
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,4791,4.82
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,473,4.02
Introduction to Forensic Science,"Nanyang Technological University, Singapore",922,4.85
Google Cloud Product Fundamentals,Google Cloud,270,4.7
American Contract Law I,Yale University,270,4.83
Engineering Health: Introduction to Yoga and Physiology,New York University,165,4.58
AI for Medical Diagnosis,DeepLearning.AI,767,4.6
Natural Language Processing with Sequence Models,DeepLearning.AI,186,3.97
Introduction to Electronics,Georgia Institute of Technology,1031,4.72
International Humanitarian Law in Theory and Practice,Universiteit Leiden,491,4.83
Making Architecture,IE School of Architecture & Design,520,4.82
Model Thinking,University of Michigan,1048,4.77
Supporting children with difficulties in reading and writing,University of London,986,4.76
Innovation Management,Erasmus University Rotterdam,828,4.72
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",1342,4.68
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,1420,4.85
Supply Chain Principles,Georgia Institute of Technology,939,4.56
Essential Google Cloud Infrastructure: Core Services,Google Cloud,2169,4.67
Weight Management: Beyond Balancing Calories,Emory University,474,4.78
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,1299,4.67
Java Programming: Solving Problems with Software,Duke University,3276,4.5
Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign,246,4.41
Inspiring and Motivating Individuals,University of Michigan,2252,4.85
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,2662,4.77
Healing with the Arts,University of Florida,618,4.74
People Analytics,University of Pennsylvania,2541,4.52
What is Social?,Northwestern University,2541,4.6
UX Design Fundamentals,California Institute of the Arts,719,4.79
Creative Thinking: Techniques and Tools for Success,Imperial College London,1796,4.73
Introduction to Classical Music,Yale University,1892,4.92
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,900,4.62
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,301,4.6
Introduction to Data Analysis Using Excel,Rice University,4500,4.71
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,4059,4.84
Introduction to International Criminal Law,Case Western Reserve University,1566,4.81
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,806,4.58
Greek and Roman Mythology,University of Pennsylvania,1121,4.79
Politics and Economics of International Energy,Sciences Po,900,4.72
Continuous Delivery & DevOps,University of Virginia,711,4.55
Teach English Now! Foundational Principles,Arizona State University,7822,4.92
Business Model Innovation,HEC Paris,219,4.7
Introduction to User Experience Principles and Processes,University of Michigan,549,4.79
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,156,4.75
Process Mining: Data science in Action,Eindhoven University of Technology,514,4.79
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,511,4.82
Introduction to Corporate Finance,University of Pennsylvania,2313,4.44
Global Diplomacy: the United Nations in the World,University of London,788,4.72
Algorithmic Toolbox,University of California San Diego,5412,4.53
Troubles du spectre de l'autisme : diagnostic,University of Geneva,234,4.85
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,671,4.85
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,270,4.66
English for Business and Entrepreneurship,University of Pennsylvania,2658,4.88
Natural Language Processing with Attention Models,DeepLearning.AI,49,3.33
What is Compliance?,University of Pennsylvania,357,4.8
Getting Started with Google Sheets,Google Cloud,517,4.67
Data Visualization with Python,IBM,3277,4.06
Foundations of Mindfulness,Rice University,117,4.82
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,1953,4.8
Data-driven Decision Making,PwC,2772,4.52
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,386,4.43
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,279,4.71
Managerial Accounting Fundamentals,University of Virginia,231,4.87
Search Engine Optimization Fundamentals,"University of California, Davis",1395,4.72
Essentials of Global Health,Yale University,785,4.86
International Security Management,Erasmus University Rotterdam,177,4.61
Getting Started with AWS Machine Learning,Amazon Web Services,3354,4.41
Arts and Heritage Management,Università Bocconi,552,4.79
Understanding Einstein: The Special Theory of Relativity,Stanford University,1938,4.89
Réussir le Changement,ESSEC Business School,1224,4.41
Equine Welfare and Management,"University of California, Davis",158,4.95
International migrations: a global issue,Sciences Po,132,4.3
Introduction to Web Development,"University of California, Davis",1822,4.66
Writing and Editing: Word Choice and Word Order,University of Michigan,309,4.78
Introduction to the Digital Advertising Landscape,University of Colorado Boulder,129,4.47
Access Controls,(ISC)²,131,4.57
Engineering Project Management: Initiating and Planning,Rice University,1343,4.8
Kotlin for Java Developers,JetBrains,729,4.55
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,1970,4.72
Introduction to Git and GitHub,Google,1933,4.82
Industrial Biotechnology,University of Manchester   ,1029,4.57
The Addicted Brain,Emory University,1230,4.55
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,2436,4.23
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,633,4.64
Drug Discovery,University of California San Diego,1124,4.63
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),1227,4.81
Financial Acumen for Non-Financial Managers,University of Pennsylvania,207,4.07
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,1177,4.36
Bugs 101: Insect-Human Interactions,University of Alberta,747,4.96
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,287,4.77
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,96,4.78
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,99,4.55
Introduction to Spreadsheets and Models,University of Pennsylvania,1674,3.63
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,737,4.37
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,450,4.83
Budgeting and Scheduling Projects,"University of California, Irvine",2597,4.75
Machine Learning for Business Professionals,Google Cloud,2508,4.58
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,129,4.88
Spanish Vocabulary: Meeting People,"University of California, Davis",1300,4.54
Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,4124,4.85
Public Policy Challenges of the 21st Century,University of Virginia,816,4.57
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,306,4.85
Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,1494,4.64
Financing and Investing in Infrastructure,Università Bocconi,1024,4.84
Global Environmental Management,Technical University of Denmark (DTU),753,4.68
Operations Analytics,University of Pennsylvania,2368,4.68
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,6,1.0
FinTech Law and Policy,Duke University,297,4.81
The Social Context of Mental Health and Illness,University of Toronto,219,4.56
What Is Contemporary Art?,The Museum of Modern Art,800,4.77
The Art of Music Production,Berklee College of Music,1289,4.84
Biohacking Your Brain's Health,Emory University,711,4.7
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",1824,4.45
Reporting extra-financier et stratégie RSE,ESSEC Business School,135,4.58
Leading Healthcare Quality and Safety,The George Washington University,516,4.84
Understanding International Relations Theory,National Research University Higher School of Economics,312,4.66
Introduction to Data Analytics,IBM,54,4.78
Fundamentos de Excel para Negocios,Universidad Austral,3302,4.82
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,1875,4.6
Cultural Competence - Aboriginal Sydney,The University of Sydney,64,4.48
Fundamentos de Finanzas Empresariales,Universidad de los Andes,4006,4.91
Greening the Economy: Sustainable Cities,Lund University,1701,4.65
Introduction to Engineering Mechanics,Georgia Institute of Technology,2082,4.76
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,317,4.66
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,855,4.24
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,753,4.92
Health Behavior Change: From Evidence to Action,Yale University,81,4.93
Ordered Data Structures,University of Illinois at Urbana-Champaign,283,4.72
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,7523,4.85
Programming Fundamentals,Duke University,3571,4.65
Understanding Financial Markets,University of Geneva,2436,4.73
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,1148,4.94
Drug Commercialization,University of California San Diego,441,4.6
Introduction to Software Product Management,University of Alberta,3071,4.59
"Social Norms, Social Change I",Unicef,1067,4.6
Excel Skills for Business: Intermediate II,Macquarie University,2919,4.72
Aboriginal Worldviews and Education,University of Toronto,197,4.6
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,629,4.69
Six Sigma Principles,University System of Georgia,2848,4.56
Business Writing,University of Colorado Boulder,2343,4.81
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,891,4.71
Introduction to Typography,California Institute of the Arts,2350,4.78
Customer Segmentation and Prospecting,Northwestern University,346,4.77
