title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
Statistics and R,314586,Self-paced on your time,Harvard University,"['Rafael Irizarry', 'Michael Love']",Intermediate,Data Analysis & Statistics,English,['English'],2–4 hours per week,4 Weeks,249
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced on your time,Harvard University,"['Michael Brenner', 'David Weitz', 'Pia Sörensen']",Introductory,Chemistry,English,['English'],2–3 hours per week,16 Weeks,199
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced on your time,Harvard University,['Peter Der Manuelian'],Introductory,Art & Culture,English,['English'],2–4 hours per week,8 Weeks,99
"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced on your time,Harvard University,['Alyssa Goodman'],Introductory,Social Sciences,English,['English'],3–5 hours per week,1 Weeks,25
Excel: Fundamentos y herramientas,284279,Self-paced on your time,Universitat Politècnica de Valencia,"['Jaime Busquets Mataix', 'Víctor Braquehais Acero']",Introductory,Computer Science,Español,['Español'],3–4 hours per week,8 Weeks,50
Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Harvard University,['Ashish Jha'],Introductory,Social Sciences,English,['English'],3–5 hours per week,4 Weeks,49
Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Harvard University,['Ashish Jha'],Intermediate,Social Sciences,English,['English'],2–4 hours per week,10 Weeks,99
CS50 for Lawyers,87336,Self-paced on your time,Harvard University,"['Doug Lloyd', 'David J. Malan']",Introductory,Computer Science,English,['English'],3–6 hours per week,10 Weeks,99
Data Science: Visualization,171258,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1–2 hours per week,8 Weeks,49
Christianity Through Its Scriptures,125051,Self-paced on your time,Harvard University,"['Karen L. King', 'Sarah Griffis']",Introductory,Humanities,English,['English'],5–10 hours per week,4 Weeks,99
The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley","['Dacher Keltner', 'Emiliana Simon', 'Thomas']",Introductory,Social Sciences,English,['English'],4–5 hours per week,11 Weeks,169
Leaders of Learning,231131,Self-paced on your time,Harvard University,['Richard Elmore'],Introductory,Communication,English,"['English', 'Español']",2–4 hours per week,10 Weeks,99
Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Harvard University,['Ronald Heifetz'],Introductory,Business & Management,English,['English'],2–3 hours per week,4 Weeks,99
Data Science: Probability,135859,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1–2 hours per week,8 Weeks,49
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced on your time,Harvard University,['Kathryn Parker Boudett'],Intermediate,Education & Teacher Training,English,"['English', 'Español']",1–2 hours per week,10 Weeks,70
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced on your time,Harvard University,"['Aaron Kesselheim', 'Jonathan Darrow', 'Ameet Sarpatwari', 'Jerry Avorn']",Introductory,Medicine,English,['English'],2–5 hours per week,8 Weeks,99
Introduction to Family Engagement in Education,105146,Self-paced on your time,Harvard University,['Karen L. Mapp'],Introductory,Education & Teacher Training,English,['English'],2–4 hours per week,6 Weeks,70
Italian Language and Culture: Beginner (2019-2020),182462,Self-paced on your time,Wellesley College,"['Daniela Bartalesi', 'Graf']",Introductory,Language,Italiano,['Italiano'],2–5 hours per week,12 Weeks,49
Steps in Japanese for Beginners1 Part1,53630,Self-paced on your time,Waseda University,['Naoko Kinoshita'],Introductory,Language,English,"['English', '日本語']",3–5 hours per week,5 Weeks,49
How to Write an Essay,306787,Self-paced on your time,"University of California, Berkeley",['Maggie Sokolik'],Introductory,Humanities,English,['English'],5–6 hours per week,5 Weeks,49
Energy Within Environmental Constraints,95324,Self-paced on your time,Harvard University,"['David Keith', 'Daniel Thorpe']",Introductory,Environmental Studies,English,['English'],3–5 hours per week,10 Weeks,99
Introduction to Probability,97291,Self-paced on your time,Harvard University,['Joseph Blitzstein'],Intermediate,Data Analysis & Statistics,English,['English'],5–10 hours per week,10 Weeks,99
AnatomyX: Musculoskeletal Cases,102075,Self-paced on your time,Harvard University,"['Trudy Van Houten', 'Michael Parker', 'Alexander Bick, M.D., Ph.D.']",Intermediate,Medicine,English,['English'],3–6 hours per week,7 Weeks,99
Data Science: Inference and Modeling,88256,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1–2 hours per week,8 Weeks,49
Strengthening Community Health Worker Programs,58626,Self-paced on your time,Harvard University,['Rajesh Ramesh Panjabi'],Introductory,Health & Safety,English,['English'],2–4 hours per week,6 Weeks,79
Buddhism Through Its Scriptures,182295,Self-paced on your time,Harvard University,"['Charles Hallisey', 'Alexis Bader']",Introductory,Humanities,English,['English'],5–10 hours per week,4 Weeks,99
Introduction to Linux,642088,Self-paced on your time,The Linux Foundation,['Jerry Cooperstein'],Introductory,Computer Science,English,['English'],5–7 hours per week,14 Weeks,199
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Self-paced on your time,Harvard University,['I. Glenn Cohen'],Introductory,Medicine,English,['English'],1–2 hours per week,10 Weeks,99
Shakespeare's Life and Work,48938,Self-paced on your time,Harvard University,['Stephen Greenblatt'],Introductory,Humanities,English,['English'],5–7 hours per week,4 Weeks,49
Marketing Digital: Content & Community Manager,112623,Self-paced on your time,Universidad Galileo,"['Jojo Giuffra', 'Miguel Morales', 'Rocael Hernández']",Introductory,Communication,Español,['Español'],3–4 hours per week,5 Weeks,49
Accounting and Finance,88243,Self-paced on your time,Indian Institute of Management Bangalore,['MS Narasimhan'],Intermediate,Business & Management,English,"['English', 'हिन्दी']",2–4 hours per week,11 Weeks,150
Computing in Python I: Fundamentals and Procedural Programming,141966,Self-paced on your time,The Georgia Institute of Technology,['David Joyner'],Introductory,Computer Science,English,['English'],9–10 hours per week,5 Weeks,99
"Nutrition, Exercise and Sports",51679,Self-paced on your time,Wageningen University & Research,"['Dr. Marco Mensink', 'Rieneke Terink MSc', 'Pol Grootswagers MSc']",Intermediate,Food & Nutrition,English,['English'],4–8 hours per week,6 Weeks,49
Becoming an Entrepreneur,104760,Self-paced on your time,Massachusetts Institute of Technology,"['Martin Culpepper', 'Laurie Stach']",Introductory,Business & Management,English,['English'],1–3 hours per week,6 Weeks,69
"Religion, Conflict and Peace",74060,Self-paced on your time,Harvard University,['Diane L. Moore'],Introductory,Humanities,English,['English'],4–8 hours per week,8 Weeks,49
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Self-paced on your time,Harvard University,"['Sarah Carter', 'Ivan Gaskell', 'Sara Schechner', 'Laurel Thatcher Ulrich']",Introductory,Humanities,English,['English'],1–3 hours per week,10 Weeks,49
Academic and Business Writing,322701,Self-paced on your time,"University of California, Berkeley",['Maggie Sokolik'],Introductory,Communication,English,['English'],3–5 hours per week,6 Weeks,49
Data Science: Capstone,62803,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],15–20 hours per week,2 Weeks,99
Basics of Computing and Programming,37045,Self-paced on your time,New York University,"['Itay Tal', 'Aspen Olmsted']",Introductory,Computer Science,English,['English'],6–8 hours per week,9 Weeks,200
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Self-paced on your time,Harvard University,['David Cox'],Introductory,Biology & Life Sciences,English,['English'],3–5 hours per week,6 Weeks,99
Successful Negotiation: Essential Strategies and Skills,31369,Self-paced on your time,The University of Michigan,['George Siedel'],Introductory,Business & Management,English,['English'],2–4 hours per week,7 Weeks,49
Data Science: Linear Regression,75310,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1–2 hours per week,8 Weeks,49
HTML5 and CSS Fundamentals,335895,Self-paced on your time,The World Wide Web Consortium (W3C),"['Marwa Hussein', 'Andrew Byrne', 'Adrian Leven', ""Gerry O'Brien""]",Introductory,Computer Science,English,['English'],4–6 hours per week,6 Weeks,199
Data Science: Productivity Tools,66683,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1–2 hours per week,8 Weeks,49
Introduction to Corporate Finance,98093,Self-paced on your time,Columbia University,['Daniel Wolfenzon'],Introductory,Business & Management,English,['English'],3–4 hours per week,4 Weeks,225
Computer Science 101,39540,Self-paced on your time,Stanford University,['Nick Parlante'],Introductory,Computer Science,English,['English'],4–6 hours per week,6 Weeks,149
Data Science: Wrangling,64584,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1–2 hours per week,8 Weeks,49
A Hands-on Introduction to Engineering Simulations,187138,Self-paced on your time,Cornell University,['Rajesh Bhaskaran'],Intermediate,Engineering,English,['English'],4–6 hours per week,6 Weeks,199
AI for Everyone: Master the Basics,49340,Self-paced on your time,IBM,['Rav Ahuja'],Introductory,Computer Science,English,['English'],1–2 hours per week,4 Weeks,49
The Psychology of Criminal Justice,110086,Self-paced on your time,The University of Queensland,"['Blake McKimmie', 'Mark Horswill', 'Barbara Masser']",Introductory,Humanities,English,['English'],1–2 hours per week,8 Weeks,99
Machine Learning with Python: A Practical Introduction,80161,Self-paced on your time,IBM,['Saeed Aghabozorgi'],Introductory,Data Analysis & Statistics,English,['English'],4–6 hours per week,5 Weeks,39
Analyzing Data with Python,94079,Self-paced on your time,IBM,['Joseph Santarcangelo'],Introductory,Data Analysis & Statistics,English,['English'],2–4 hours per week,5 Weeks,39
Excel: gestión de datos,111785,Self-paced on your time,Universitat Politècnica de Valencia,"['Jaime Busquets Mataix', 'Víctor Braquehais Acero']",Intermediate,Computer Science,Español,['Español'],4–6 hours per week,6 Weeks,75
Probability - The Science of Uncertainty and Data,205615,Instructor-led on a course schedule,Massachusetts Institute of Technology,"['John Tsitsiklis', 'Dimitri Bertsekas', 'Patrick Jaillet', 'Karene Chu']",Advanced,Data Analysis & Statistics,English,['English'],10–14 hours per week,16 Weeks,300
"Fundamentals of Neuroscience, Part 3: The Brain",85034,Self-paced on your time,Harvard University,['David Cox'],Introductory,Biology & Life Sciences,English,['English'],3–5 hours per week,8 Weeks,99
Sikhism Through Its Scriptures,44125,Self-paced on your time,Harvard University,"['Harpreet Singh', 'Ravinder Singh', 'Damanpreet Singh']",Introductory,Humanities,English,['English'],5–10 hours per week,4 Weeks,99
Upper-Intermediate English: Business and Modern Life,77991,Self-paced on your time,Universitat Politècnica de Valencia,['Prof. Ana Gimeno'],Intermediate,Language,English,['English'],3–5 hours per week,4 Weeks,50
Introduction to Probability,97291,Self-paced on your time,Harvard University,['Joseph Blitzstein'],Intermediate,Data Analysis & Statistics,English,['English'],5–10 hours per week,10 Weeks,99
Religious Literacy: Traditions and Scriptures,96972,Self-paced on your time,Harvard University,"['Diane L. Moore', 'Anna Mudd']",Introductory,Humanities,English,['English'],5–10 hours per week,4 Weeks,99
Programación para todos (empezando con Python),81004,Self-paced on your time,The University of Michigan,['Charles Severance'],Introductory,Computer Science,Español,['Español'],2–4 hours per week,7 Weeks,49
Analyzing and Visualizing Data with Power BI,28879,Self-paced on your time,Davidson College,['Pete Benbow'],Introductory,Data Analysis & Statistics,English,['English'],10–20 hours per week,4 Weeks,99
High-Dimensional Data Analysis,78443,Self-paced on your time,Harvard University,"['Rafael Irizarry', 'Michael Love']",Advanced,Data Analysis & Statistics,English,['English'],2–4 hours per week,4 Weeks,149
Introduction To Music Theory,67029,Self-paced on your time,Berklee College of Music,['George Russell'],Introductory,Humanities,English,['English'],3–5 hours per week,6 Weeks,49
Human Anatomy,126850,Self-paced on your time,The Hong Kong Polytechnic University,"['John Yuen', 'Benson Lau', 'Allen Cheong', 'Richard Li']",Introductory,Medicine,English,['English'],2–4 hours per week,8 Weeks,139
"CitiesX: The Past, Present and Future of Urban Life",76874,Self-paced on your time,Harvard University,['Edward Glaeser'],Introductory,Social Sciences,English,"['English', 'Português']",5–7 hours per week,11 Weeks,99
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Self-paced on your time,Harvard University,['Michael Puett'],Introductory,Philosophy & Ethics,English,['English'],1–2 hours per week,13 Weeks,99
Entrepreneurship 101: Who is your customer?,41838,Self-paced on your time,Massachusetts Institute of Technology,"['Bill Aulet', 'Erdin Beshimov']",Introductory,Business & Management,English,['English'],2–4 hours per week,10 Weeks,49
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Self-paced on your time,Harvard University,['Thomas E. Patterson'],Introductory,Social Sciences,English,['English'],2–4 hours per week,4 Weeks,49
Machine Learning with Python: from Linear Models to Deep Learning,85561,Instructor-led on a course schedule,Massachusetts Institute of Technology,"['Regina Barzilay', 'Tommi Jaakkola', 'Karene Chu']",Advanced,Computer Science,English,['English'],10–14 hours per week,15 Weeks,300
Introduction to Data Science,43766,Self-paced on your time,IBM,['Alex Aklson'],Introductory,Data Analysis & Statistics,English,['English'],3–6 hours per week,6 Weeks,39
Circuits and Electronics 1: Basic Circuit Analysis,52639,Self-paced on your time,Massachusetts Institute of Technology,"['Anant Agarwal', 'Gerald Sussman', 'Piotr Mitros', 'Chris Terman']",Introductory,Electronics,English,"['English', '中文']",5–7 hours per week,5 Weeks,169
Introduction to Investments,91788,Self-paced on your time,Indian Institute of Management Bangalore,['S.G. Badrinath'],Intermediate,Business & Management,English,['English'],3–5 hours per week,5 Weeks,50
Improving Your Business Through a Culture of Health,54136,Self-paced on your time,Harvard University,"['John McDonough', 'Howard Koh', 'Amy Edmondson', 'Jose Alvarez']",Introductory,Business & Management,English,['English'],1–3 hours per week,9 Weeks,99
Introduction to Linear Models and Matrix Algebra,92004,Self-paced on your time,Harvard University,"['Rafael Irizarry', 'Michael Love']",Intermediate,Math,English,['English'],2–4 hours per week,4 Weeks,149
DO Your Venture: Entrepreneurship For Everyone,61989,Self-paced on your time,Indian Institute of Management Bangalore,['Suresh Bhagavatula'],Introductory,Business & Management,English,"['English', 'हिन्दी']",3–4 hours per week,6 Weeks,150
El valor de la creatividad y la innovación: La Economía Naranja,23728,Self-paced on your time,Inter-American Development Bank,"['Marina Casciano', 'Micaela Cordero', 'Helga Flores Trejo', 'Matteo Grazzi']",Introductory,Art & Culture,Español,['Español'],2–4 hours per week,8 Weeks,25
